Time: 2019-Dec-03__18_17_07PM2.5: 0.5  PM10: 4.1
Time: 2019-Dec-03__18_17_10PM2.5: 0.5  PM10: 3.3
Time: 2019-Dec-03__18_17_12PM2.5: 0.5  PM10: 2.8
Time: 2019-Dec-03__18_17_14PM2.5: 0.5  PM10: 2.5
Time: 2019-Dec-03__18_17_16PM2.5: 0.5  PM10: 2.2
Time: 2019-Dec-03__18_17_18PM2.5: 0.5  PM10: 2.0
Time: 2019-Dec-03__18_17_20PM2.5: 0.5  PM10: 1.8
Time: 2019-Dec-03__18_17_22PM2.5: 0.6  PM10: 1.8
Time: 2019-Dec-03__18_17_24PM2.5: 0.6  PM10: 1.7
Time: 2019-Dec-03__18_17_26PM2.5: 0.6  PM10: 1.5
Time: 2019-Dec-03__18_17_28PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-03__18_17_31PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-03__18_17_33PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-03__18_17_35PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-03__18_17_37PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-03__18_18_10PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-03__18_18_12PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-03__18_18_14PM2.5: 0.7  PM10: 0.8
Time: 2019-Dec-03__18_18_16PM2.5: 0.8  PM10: 1.4
Time: 2019-Dec-03__18_18_18PM2.5: 0.7  PM10: 1.2
Time: 2019-Dec-03__18_18_20PM2.5: 0.7  PM10: 1.0
Time: 2019-Dec-03__18_18_22PM2.5: 0.7  PM10: 0.9
Time: 2019-Dec-03__18_18_24PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-03__18_18_26PM2.5: 0.7  PM10: 0.8
Time: 2019-Dec-03__18_18_28PM2.5: 0.6  PM10: 0.7
Time: 2019-Dec-03__18_18_31PM2.5: 0.6  PM10: 0.7
Time: 2019-Dec-03__18_18_33PM2.5: 0.6  PM10: 0.7
Time: 2019-Dec-03__18_18_35PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__15_59_24PM2.5: 0.6  PM10: 0.7
Time: 2019-Dec-05__15_59_26PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__15_59_59PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_00_01PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_00_03PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_00_05PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_00_07PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_00_09PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_00_12PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_00_14PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_00_16PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_00_18PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_00_20PM2.5: 0.7  PM10: 1.0
Time: 2019-Dec-05__16_00_22PM2.5: 0.7  PM10: 1.0
Time: 2019-Dec-05__16_00_24PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-05__16_00_26PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-05__16_00_28PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-05__16_01_01PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_01_03PM2.5: 0.6  PM10: 6.6
Time: 2019-Dec-05__16_01_05PM2.5: 0.6  PM10: 3.5
Time: 2019-Dec-05__16_01_07PM2.5: 0.6  PM10: 2.4
Time: 2019-Dec-05__16_01_09PM2.5: 0.5  PM10: 1.9
Time: 2019-Dec-05__16_01_12PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_01_14PM2.5: 0.6  PM10: 1.3
Time: 2019-Dec-05__16_01_16PM2.5: 0.7  PM10: 1.3
Time: 2019-Dec-05__16_01_18PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-05__16_01_20PM2.5: 0.7  PM10: 1.7
Time: 2019-Dec-05__16_01_22PM2.5: 0.7  PM10: 1.6
Time: 2019-Dec-05__16_01_24PM2.5: 0.7  PM10: 1.4
Time: 2019-Dec-05__16_01_26PM2.5: 0.6  PM10: 1.3
Time: 2019-Dec-05__16_01_28PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-05__16_01_30PM2.5: 0.6  PM10: 1.1
Time: 2019-Dec-05__16_02_03PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_02_05PM2.5: 0.3  PM10: 0.3
Time: 2019-Dec-05__16_02_07PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_02_09PM2.5: 0.7  PM10: 0.8
Time: 2019-Dec-05__16_02_12PM2.5: 0.6  PM10: 0.7
Time: 2019-Dec-05__16_02_14PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_02_16PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_02_18PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_02_20PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_02_22PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_02_24PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_02_26PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_02_28PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_02_30PM2.5: 0.6  PM10: 0.6
