Time: 2019-Dec-11__10_32_13 PM2.5: 5.28  PM10: 9.22
Time: 2019-Dec-11__10_32_55 PM2.5: 5.04  PM10: 10.3
Time: 2019-Dec-11__10_33_42 PM2.5: 4.74  PM10: 6.74
Time: 2019-Dec-11__10_34_19 PM2.5: 4.92  PM10: 6.84
Time: 2019-Dec-11__10_34_59 PM2.5: 4.72  PM10: 7.62
Time: 2019-Dec-11__10_35_36 PM2.5: 5.08  PM10: 8.08
Time: 2019-Dec-11__10_36_13 PM2.5: 4.74  PM10: 8.58
Time: 2019-Dec-11__10_36_53 PM2.5: 4.82  PM10: 5.78
Time: 2019-Dec-11__10_37_33 PM2.5: 4.88  PM10: 8.2
Time: 2019-Dec-11__10_38_10 PM2.5: 4.74  PM10: 6.74
Time: 2019-Dec-11__10_38_49 PM2.5: 4.72  PM10: 7.72
Time: 2019-Dec-11__10_39_27 PM2.5: 4.68  PM10: 10.42
Time: 2019-Dec-11__10_40_09 PM2.5: 4.92  PM10: 7.82
