Time: 2019-Nov-25__15_20_45PM2.5: 0.7  PM10: 3.4
Time: 2019-Nov-25__15_20_47PM2.5: 0.7  PM10: 2.9
Time: 2019-Nov-25__15_20_49PM2.5: 0.6  PM10: 2.3
Time: 2019-Nov-25__15_20_51PM2.5: 0.6  PM10: 2.1
Time: 2019-Nov-25__15_20_53PM2.5: 0.5  PM10: 1.8
Time: 2019-Nov-25__15_20_56PM2.5: 0.5  PM10: 1.7
Time: 2019-Nov-25__15_20_58PM2.5: 0.5  PM10: 3.3
Time: 2019-Nov-25__15_21_00PM2.5: 0.5  PM10: 3.0
Time: 2019-Nov-25__15_21_02PM2.5: 0.5  PM10: 2.8
Time: 2019-Nov-25__15_21_04PM2.5: 0.5  PM10: 2.6
Time: 2019-Nov-25__15_21_06PM2.5: 0.5  PM10: 2.6
Time: 2019-Nov-25__15_21_08PM2.5: 0.5  PM10: 2.4
Time: 2019-Nov-25__15_21_10PM2.5: 0.5  PM10: 2.4
Time: 2019-Nov-25__15_21_12PM2.5: 0.5  PM10: 1.8
Time: 2019-Nov-25__15_21_14PM2.5: 0.5  PM10: 1.7
Time: 2019-Nov-25__15_21_47PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_21_49PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_21_51PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_21_53PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_21_56PM2.5: 0.7  PM10: 0.7
Time: 2019-Nov-25__15_21_58PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_22_00PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_22_02PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_22_04PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_22_06PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_22_08PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_22_10PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_22_12PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_22_14PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_22_17PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_22_49PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_22_51PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_22_53PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_22_55PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_22_57PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_22_59PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_23_02PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_23_04PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_23_06PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_23_08PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_23_10PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_23_41PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_23_43PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_23_45PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_24_18PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_24_20PM2.5: 0.4  PM10: 0.5
Time: 2019-Nov-25__15_24_22PM2.5: 0.8  PM10: 1.0
Time: 2019-Nov-25__15_24_24PM2.5: 0.7  PM10: 5.1
Time: 2019-Nov-25__15_24_26PM2.5: 0.7  PM10: 3.9
Time: 2019-Nov-25__15_24_28PM2.5: 0.6  PM10: 3.2
Time: 2019-Nov-25__15_24_30PM2.5: 0.5  PM10: 2.5
Time: 2019-Nov-25__15_24_32PM2.5: 0.5  PM10: 2.2
Time: 2019-Nov-25__15_24_34PM2.5: 0.5  PM10: 2.0
Time: 2019-Nov-25__15_24_37PM2.5: 0.5  PM10: 1.8
Time: 2019-Nov-25__15_24_39PM2.5: 0.5  PM10: 1.8
Time: 2019-Nov-25__15_24_41PM2.5: 0.5  PM10: 1.9
Time: 2019-Nov-25__15_24_43PM2.5: 0.5  PM10: 1.8
Time: 2019-Nov-25__15_24_45PM2.5: 0.5  PM10: 1.7
Time: 2019-Nov-25__15_24_47PM2.5: 0.5  PM10: 1.6
Time: 2019-Nov-25__15_25_20PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_25_22PM2.5: 0.9  PM10: 1.1
Time: 2019-Nov-25__15_25_24PM2.5: 0.8  PM10: 1.0
Time: 2019-Nov-25__15_25_26PM2.5: 0.7  PM10: 1.5
Time: 2019-Nov-25__15_25_28PM2.5: 0.7  PM10: 1.3
Time: 2019-Nov-25__15_25_30PM2.5: 0.7  PM10: 1.1
Time: 2019-Nov-25__15_25_32PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_25_34PM2.5: 0.6  PM10: 1.1
Time: 2019-Nov-25__15_25_37PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_25_39PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_25_41PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_25_43PM2.5: 0.6  PM10: 0.9
Time: 2019-Nov-25__15_25_45PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_25_47PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_25_49PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_26_22PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_26_24PM2.5: 0.3  PM10: 0.3
Time: 2019-Nov-25__15_26_26PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_26_28PM2.5: 0.6  PM10: 3.0
Time: 2019-Nov-25__15_26_30PM2.5: 0.7  PM10: 2.5
Time: 2019-Nov-25__15_26_32PM2.5: 0.7  PM10: 2.0
Time: 2019-Nov-25__15_26_35PM2.5: 0.7  PM10: 1.9
Time: 2019-Nov-25__15_26_37PM2.5: 0.7  PM10: 1.8
Time: 2019-Nov-25__15_26_39PM2.5: 0.7  PM10: 2.2
Time: 2019-Nov-25__15_26_41PM2.5: 0.6  PM10: 2.0
Time: 2019-Nov-25__15_26_43PM2.5: 0.6  PM10: 1.9
Time: 2019-Nov-25__15_26_45PM2.5: 0.6  PM10: 2.7
Time: 2019-Nov-25__15_26_47PM2.5: 0.7  PM10: 2.5
Time: 2019-Nov-25__15_26_49PM2.5: 0.7  PM10: 2.4
Time: 2019-Nov-25__15_26_51PM2.5: 0.6  PM10: 2.2
Time: 2019-Nov-25__15_27_24PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_27_26PM2.5: 0.7  PM10: 1.2
Time: 2019-Nov-25__15_27_28PM2.5: 0.6  PM10: 0.9
Time: 2019-Nov-25__15_27_30PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_27_32PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_27_35PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_27_37PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_27_39PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_41PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_43PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_45PM2.5: 0.7  PM10: 0.8
